digitSpan,digits,fixation_time,answer
3,279,"0,15",972
3,148,"0,95",841
4,1652,"0,35",2561
4,7093,"0,55",3907
5,10256,"0,95",65201
5,47319,"0,350",91374
6,982506,"0,550",605289
6,314795,"0,950",597413
7,9721435,"0,750",5341279
7,8975204,"0,150",4025798
8,84591207,"0,950",70219548
8,40981637,"0,550",73618904
9,219405638,"0,350",836504912
9,395208647,"0,150",746802593
10,5087243691,"0,750",1963427805
10,6182975304,"0,350",4035792816
