digitSpan,digits,fixation_time,answer,n,answer_box_2.started_mean,answer_box_2.started_raw,answer_box_2.started_std,answer_box_2.stopped_raw,answer_box_2.text_raw,first_fix_active.started_mean,first_fix_active.started_raw,first_fix_active.started_std,first_fix_active.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,postrecallPR_2.started_mean,postrecallPR_2.started_raw,postrecallPR_2.started_std,postrecallPR_2.stopped_raw,recall_txt_2.started_mean,recall_txt_2.started_raw,recall_txt_2.started_std,recall_txt_2.stopped_raw,order
3,349,0.15,943,1.0,308.59368896484375,308.59368896484375,0.0,,'943',305.4409484863281,305.4409484863281,0.0,,303.626708984375,303.626708984375,0.0,,'space',1.7963621616363525,1.7963621616363525,0.0,303.626708984375,303.626708984375,0.0,,311.7660217285156,311.7660217285156,0.0,,308.59368896484375,308.59368896484375,0.0,,0.0
3,256.0,0.95,652.0,1.0,318.8694152832031,318.8694152832031,0.0,,'652',314.9191589355469,314.9191589355469,0.0,,313.2408142089844,313.2408142089844,0.0,,'space',1.661473274230957,1.661473274230957,0.0,313.2408142089844,313.2408142089844,0.0,,324.2275695800781,324.2275695800781,0.0,,318.8694152832031,318.8694152832031,0.0,,1.0
4,1502.0,0.35,2051.0,1.0,338.48809814453125,338.48809814453125,0.0,,'2051',334.1130065917969,334.1130065917969,0.0,,325.70257568359375,325.70257568359375,0.0,,'space',8.388532638549805,8.388532638549805,0.0,325.70257568359375,325.70257568359375,0.0,,341.6760559082031,341.6760559082031,0.0,,338.48809814453125,338.48809814453125,0.0,,2.0
4,3769.0,0.55,9673.0,1.0,349.1781921386719,349.1781921386719,0.0,,'9673',344.6156311035156,344.6156311035156,0.0,,343.15728759765625,343.15728759765625,0.0,,'space',1.4331284761428833,1.4331284761428833,0.0,343.15728759765625,343.15728759765625,0.0,,355.7237854003906,355.7237854003906,0.0,,349.1781921386719,349.1781921386719,0.0,,3.0
5,80734.0,0.95,43708.0,1.0,364.0179443359375,364.0179443359375,0.0,,'43708',358.0484313964844,358.0484313964844,0.0,,357.19970703125,357.19970703125,0.0,,'space',0.8182053565979004,0.8182053565979004,0.0,357.19970703125,357.19970703125,0.0,,370.42681884765625,370.42681884765625,0.0,,364.0179443359375,364.0179443359375,0.0,,4.0
5,23569.0,0.35,96532.0,1.0,379.0048828125,379.0048828125,0.0,,'96532',373.6493225097656,373.6493225097656,0.0,,371.9011535644531,371.9011535644531,0.0,,'space',1.7303014993667603,1.7303014993667603,0.0,371.9011535644531,371.9011535644531,0.0,,384.5328674316406,384.5328674316406,0.0,,379.0048828125,379.0048828125,0.0,,5.0
6,741802.0,0.55,208147.0,1.0,407.6565246582031,407.6565246582031,0.0,,'6',401.09637451171875,401.09637451171875,0.0,,386.00909423828125,386.00909423828125,0.0,,'space',15.062322616577148,15.062322616577148,0.0,386.00909423828125,386.00909423828125,0.0,,411.3193664550781,411.3193664550781,0.0,,407.6565246582031,407.6565246582031,0.0,,6.0
6,956374.0,0.95,473659.0,1.0,421.2386169433594,421.2386169433594,0.0,,'6',414.2865905761719,414.2865905761719,0.0,,412.79522705078125,412.79522705078125,0.0,,'space',1.4736741781234741,1.4736741781234741,0.0,412.79522705078125,412.79522705078125,0.0,,422.83258056640625,422.83258056640625,0.0,,421.2386169433594,421.2386169433594,0.0,,7.0
7,1032645.0,0.75,5462301.0,1.0,439.5516662597656,439.5516662597656,0.0,,'5462301',431.6671447753906,431.6671447753906,0.0,,424.3072204589844,424.3072204589844,0.0,,'space',7.330295562744141,7.330295562744141,0.0,424.3072204589844,424.3072204589844,0.0,,459.37274169921875,459.37274169921875,0.0,,439.5516662597656,439.5516662597656,0.0,,8.0
7,6754102.0,0.15,2014576.0,1.0,471.052490234375,471.052490234375,0.0,,'',463.89825439453125,463.89825439453125,0.0,,460.846435546875,460.846435546875,0.0,,'space',3.0182628631591797,3.0182628631591797,0.0,460.846435546875,460.846435546875,0.0,,472.0523986816406,472.0523986816406,0.0,,471.052490234375,471.052490234375,0.0,,9.0
8,30921867.0,0.95,76812903.0,1.0,484.95745849609375,484.95745849609375,0.0,,'8',476.0034484863281,476.0034484863281,0.0,,473.52813720703125,473.52813720703125,0.0,,'space',2.4497828483581543,2.4497828483581543,0.0,473.52813720703125,473.52813720703125,0.0,,486.1947021484375,486.1947021484375,0.0,,484.95745849609375,484.95745849609375,0.0,,10.0
8,96528304.0,0.55,40382569.0,1.0,498.43487548828125,498.43487548828125,0.0,,'4382569',489.8734130859375,489.8734130859375,0.0,,487.6697998046875,487.6697998046875,0.0,,'space',2.1741726398468018,2.1741726398468018,0.0,487.6697998046875,487.6697998046875,0.0,,523.1056518554688,523.1056518554688,0.0,,498.43487548828125,498.43487548828125,0.0,,11.0
9,305679148.0,0.35,841976503.0,1.0,536.3294677734375,536.3294677734375,0.0,,'9',526.9701538085938,526.9701538085938,0.0,,524.5798950195312,524.5798950195312,0.0,,'space',2.358952522277832,2.358952522277832,0.0,524.5798950195312,524.5798950195312,0.0,,537.9912719726562,537.9912719726562,0.0,,536.3294677734375,536.3294677734375,0.0,,12.0
9,805734129.0,0.15,921437508.0,1.0,551.0463256835938,551.0463256835938,0.0,,'9',541.8934326171875,541.8934326171875,0.0,,539.4662475585938,539.4662475585938,0.0,,'space',2.401087999343872,2.401087999343872,0.0,539.4662475585938,539.4662475585938,0.0,,552.2334594726562,552.2334594726562,0.0,,551.0463256835938,551.0463256835938,0.0,,13.0
10,9147256083.0,0.75,3806527419.0,0.0,,,,'--','--',,,,'--',,,,'--','--',,,,,,,'--',,,,'--',,,,'--',
10,1972506384.0,0.35,4836052791.0,0.0,,,,'--','--',,,,'--',,,,'--','--',,,,,,,'--',,,,'--',,,,'--',

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿digitSpan,digits,fixation_time,answer,n,answer_box_2.started_raw,answer_box_2.stopped_raw,answer_box_2.text_raw,first_fix_active.started_mean,first_fix_active.started_raw,first_fix_active.started_std,first_fix_active.stopped_raw,firstfix_activas.started_mean,firstfix_activas.started_raw,firstfix_activas.started_std,firstfix_activas.stopped_raw,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,postrecallPR_2.started_mean,postrecallPR_2.started_raw,postrecallPR_2.started_std,postrecallPR_2.stopped_raw,recall_txt_2.started_raw,recall_txt_2.stopped_raw,order
3,385.0,0.55,583.0,1.0,'607.9791',,'',604.402099609375,604.402099609375,0.0,,603.181396484375,603.181396484375,0.0,,'space',1.1971721649169922,1.1971721649169922,0.0,603.181396484375,603.181396484375,0.0,,609.8611450195312,609.8611450195312,0.0,,'607.9791',,0.0
3,294.0,0.55,492.0,1.0,'616.5065',,'492',612.9462280273438,612.9462280273438,0.0,,611.3359375,611.3359375,0.0,,'space',1.580875039100647,1.580875039100647,0.0,611.3359375,611.3359375,0.0,,619.6599731445312,619.6599731445312,0.0,,'616.5065',,1.0
4,1358.0,0.55,8531.0,1.0,628.1533241783069,,'',623.5966186523438,623.5966186523438,0.0,,621.1350708007812,621.1350708007812,0.0,,'space',2.44041109085083,2.44041109085083,0.0,621.1350708007812,621.1350708007812,0.0,,628.1530151367188,628.1530151367188,0.0,,628.1533241783069,,2.0
4,2047.0,0.55,7402.0,1.0,636.8510961811659,,'',632.2907104492188,632.2907104492188,0.0,,629.6282958984375,629.6282958984375,0.0,,'space',2.6352193355560303,2.6352193355560303,0.0,629.6282958984375,629.6282958984375,0.0,,636.8546752929688,636.8546752929688,0.0,,636.8510961811659,,3.0
5,15396.0,0.55,69351.0,1.0,644.8707495217237,,'',639.3095703125,639.3095703125,0.0,,638.3428955078125,638.3428955078125,0.0,,'space',0.9408317804336548,0.9408317804336548,0.0,638.3428955078125,638.3428955078125,0.0,,644.8704223632812,644.8704223632812,0.0,,644.8707495217237,,4.0
5,90761.0,0.55,16709.0,1.0,653.0921685510439,,'',647.5338134765625,647.5338134765625,0.0,,646.3494873046875,646.3494873046875,0.0,,'space',1.1545023918151855,1.1545023918151855,0.0,646.3494873046875,646.3494873046875,0.0,,653.7199096679688,653.7199096679688,0.0,,653.0921685510439,,5.0
6,835042.0,0.55,240538.0,0.0,'--','--','--',,,,'--',,,,'--','--',,,,,,,'--',,,,'--','--','--',
6,615739.0,0.55,937516.0,0.0,'--','--','--',,,,'--',,,,'--','--',,,,,,,'--',,,,'--','--','--',
7,1032458.0,0.55,8542301.0,0.0,'--','--','--',,,,'--',,,,'--','--',,,,,,,'--',,,,'--','--','--',
