digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,497.0,0.55,794.0,1.0,93.46868877831585,,'',89.90890502929688,89.90890502929688,0.0,,93.46881866455078,93.46881866455078,0.0,,93.46868877831585,,0.0
3,235.0,0.55,532.0,1.0,98.50335472243606,,'',94.94258880615234,94.94258880615234,0.0,,98.50337219238281,98.50337219238281,0.0,,98.50335472243606,,1.0
4,6081.0,0.55,1806.0,1.0,104.53808224745663,,'',99.97846221923828,99.97846221923828,0.0,,104.53804779052734,104.53804779052734,0.0,,104.53808224745663,,2.0
4,3168.0,0.55,8613.0,1.0,110.5721795945523,,'',106.01261138916016,106.01261138916016,0.0,,110.57220458984375,110.57220458984375,0.0,,110.5721795945523,,3.0
5,81423.0,0.55,32418.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
5,90736.0,0.55,63709.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,153624.0,0.55,426351.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,819703.0,0.55,307918.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,1026597.0,0.55,7956201.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,8765312.0,0.55,2135678.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,93261458.0,0.55,85416239.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,50914738.0,0.55,83741905.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,431962507.0,0.55,705269134.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,901852346.0,0.55,643258109.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,1946738052.0,0.55,2508376491.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,4127509683.0,0.55,3869057214.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,279.0,0.15,972.0,1.0,146.07042084390415,,'',142.9181365966797,142.9181365966797,0.0,,146.070556640625,146.070556640625,0.0,,146.07042084390415,,0.0
3,148.0,0.95,841.0,1.0,151.4985337586535,,'',147.5472412109375,147.5472412109375,0.0,,151.49893188476562,151.49893188476562,0.0,,151.4985337586535,,1.0
4,1652.0,0.35,2561.0,1.0,157.32929793662916,,'',152.97317504882812,152.97317504882812,0.0,,157.32937622070312,157.32937622070312,0.0,,157.32929793662916,,2.0
4,7093.0,0.55,3907.0,1.0,163.37112656107493,,'',158.8110809326172,158.8110809326172,0.0,,163.37147521972656,163.37147521972656,0.0,,163.37112656107493,,3.0
5,10256.0,0.95,65201.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
5,47319.0,0.35,91374.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,982506.0,0.55,605289.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,314795.0,0.95,597413.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,9721435.0,0.75,5341279.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,8975204.0,0.15,4025798.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,84591207.0,0.95,70219548.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,40981637.0,0.55,73618904.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,219405638.0,0.35,836504912.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,395208647.0,0.15,746802593.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,5087243691.0,0.75,1963427805.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,6182975304.0,0.35,4035792816.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
