nRepsBlockPasivas,nRepsBlockActivas,instrucciones_pasiva,instrucciones_activa,digitSpan_train,digits_train,fixation_time_train,answer_train,digitSpan,digits,fixation_time,answer,Block_Order.thisRepN,Block_Order.thisTrialN,Block_Order.thisN,Block_Order.thisIndex,BlockPasivas.thisRepN,BlockPasivas.thisTrialN,BlockPasivas.thisN,BlockPasivas.thisIndex,BlockActivas.thisRepN,BlockActivas.thisTrialN,BlockActivas.thisN,BlockActivas.thisIndex,intrLoopActivas.thisRepN,intrLoopActivas.thisTrialN,intrLoopActivas.thisN,intrLoopActivas.thisIndex,trial_train_Activas.thisRepN,trial_train_Activas.thisTrialN,trial_train_Activas.thisN,trial_train_Activas.thisIndex,train_digitloop_Activas.thisRepN,train_digitloop_Activas.thisTrialN,train_digitloop_Activas.thisN,train_digitloop_Activas.thisIndex,trialActivas.thisRepN,trialActivas.thisTrialN,trialActivas.thisN,trialActivas.thisIndex,digitLoop_Activas.thisRepN,digitLoop_Activas.thisTrialN,digitLoop_Activas.thisN,digitLoop_Activas.thisIndex,instrucloop_Pasivas.thisRepN,instrucloop_Pasivas.thisTrialN,instrucloop_Pasivas.thisN,instrucloop_Pasivas.thisIndex,trial_trainingPasivas.thisRepN,trial_trainingPasivas.thisTrialN,trial_trainingPasivas.thisN,trial_trainingPasivas.thisIndex,train_digitloopPasivas.thisRepN,train_digitloopPasivas.thisTrialN,train_digitloopPasivas.thisN,train_digitloopPasivas.thisIndex,trial_Pasiva.thisRepN,trial_Pasiva.thisTrialN,trial_Pasiva.thisN,trial_Pasiva.thisIndex,digitLoop_Pasivas.thisRepN,digitLoop_Pasivas.thisTrialN,digitLoop_Pasivas.thisN,digitLoop_Pasivas.thisIndex,bienv2.started,bienv2.stopped,key_bienv.keys,key_bienv.rt,key_bienv.started,key_bienv.stopped,continuetrial_pasivas.keys,continuetrial_pasivas.rt,continuetrial_pasivas.started,continuetrial_pasivas.stopped,text.started,text.stopped,firstfix_activas.started,firstfix_activas.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,firsfixtrain_activa.started,firsfixtrain_activa.stopped,digitpresentation_training_2.started,digitpresentation_training_2.stopped,correct,recall_train_2.started,recall_train_2.stopped,answ_train_2.text,answ_train_2.started,answ_train_2.stopped,post_recall_training_2.started,post_recall_training_2.stopped,end_training_2.started,end_training_2.stopped,first_fix_active.started,first_fix_active.stopped,pres_text_active.started,pres_text_active.stopped,recall_txt_2.started,recall_txt_2.stopped,answer_box_2.text,answer_box_2.started,answer_box_2.stopped,postrecallPR_2.started,postrecallPR_2.stopped,Dificultad_activas.started,Dificultad_activas.stopped,dif_licker_2.response,dif_licker_2.rt,dif_licker_2.started,dif_licker_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,post_recall_training.started,post_recall_training.stopped,end_training.started,end_training.stopped,first_fix_pas.started,first_fix_pas.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,postrecallPR.started,postrecallPR.stopped,Dificultad_pasivas.started,Dificultad_pasivas.stopped,dif_licker.response,dif_licker.rt,dif_licker.started,dif_licker.stopped,text_2.started,text_2.stopped,participante,sesion,orden,pasivas,activas,date,expName,psychopyVersion,frameRate,
0,2,,,,,,,3,349,0.15,943,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5310930200103,None,space,1.4302245270228013,77.5310930200103,None,,,,,,,,,,,,,76.12395948797712,None,78.9888320976097,None,79.14128301763049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,349,0.15,943,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.14169355699414,80.14169355699414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,349,0.15,943,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.14134665123129,81.14134665123129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,349,0.15,943,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,82.14105639989793,None,,82.14105639989793,None,82.90394282007765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,256.0,0.95,652.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.37893563563921,None,space,0.7164525734297058,84.37893563563921,None,,,,,,,,,,,,,,,85.12445090359688,None,86.07375503937146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,256.0,0.95,652.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.07372342783856,87.07372342783856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,256.0,0.95,652.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.07385438989877,88.07385438989877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,256.0,0.95,652.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,89.07348490446748,None,,89.07348490446748,None,89.75179528865192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,1502.0,0.35,2051.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.22641943985946,None,space,0.390511411937041,91.22641943985946,None,,,,,,,,,,,,,,,91.65015066794876,None,92.00613674245324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,1502.0,0.35,2051.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.00627468368111,93.00627468368111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,1502.0,0.35,2051.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.00626236750031,94.00626236750031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,1502.0,0.35,2051.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.00630506359448,95.00630506359448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,1502.0,0.35,2051.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,96.00610841523667,None,,96.00610841523667,None,96.65041546583961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,3769.0,0.55,9673.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.12511556683239,None,space,0.4617289074813016,98.12511556683239,None,,,,,,,,,,,,,,,98.61631278173445,None,99.17592597153998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,3769.0,0.55,9673.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17597523626682,100.17597523626682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,3769.0,0.55,9673.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.17609429268123,101.17609429268123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,3769.0,0.55,9673.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1767113333517,102.1767113333517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,4,3769.0,0.55,9673.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,103.19290013219506,None,,103.19290013219506,None,103.73538931448275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.78589181466668,None,5,3.5127755745488685,104.78589181466668,None,space,4.003486919154966,108.54981115189003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,datasets/instruccion2.png,datasets/instruccion2.png,,,,,,,,,0,0,0,0,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,datasets/instruccion3.png,datasets/instruccion3.png,,,,,,,,,0,0,0,0,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,2,91,0.55,19,,,,,0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.73687546698784,None,space,2.4761207755182113,129.73687546698784,None,132.2450086623794,None,132.80484682776296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,2,91,0.55,19,,,,,0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8047589723392,133.8047589723392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,2,91,0.55,19,,,,,0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134.80519783892123,None,,134.80519783892123,None,134.80501966483644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,2,47,0.55,74,,,,,0,0,0,0,,,,,1,0,1,0,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.27956252925287,None,space,0.3606212722697819,136.27956252925287,None,136.66924526442745,None,137.2287385767413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,2,47,0.55,74,,,,,0,0,0,0,,,,,1,0,1,0,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.22876649341924,138.22876649341924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,2,47,0.55,74,,,,,0,0,0,0,,,,,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,139.2288428537413,None,,139.2288428537413,None,139.22879851549078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,385.0,0.55,583.0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.85610389930298,None,space,1.3993211762026476,141.85610389930298,None,,,,,,,,,,,,,140.24541427527583,None,143.28192723600296,None,143.8411643717518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,385.0,0.55,583.0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8411602663582,144.8411602663582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
0,2,,,,,,,3,385.0,0.55,583.0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.84138318923578,145.84138318923578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRFRF,01,AP,RF,RF,2022-07-05_20h37.57.539,DigitSpanTask_visual,2022.1.3,58.576458027682435,
