digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,497.0,0.55,794.0,1.0,'683.3155',,'',679.7550048828125,679.7550048828125,0.0,,684.114501953125,684.114501953125,0.0,,'683.3155',,0.0
3,235.0,0.55,532.0,1.0,'689.1476',,'',685.58740234375,685.58740234375,0.0,,689.68994140625,689.68994140625,0.0,,'689.1476',,1.0
4,6081.0,0.55,1806.0,1.0,695.7258911167515,,'',691.1651611328125,691.1651611328125,0.0,,695.7258911132812,695.7258911132812,0.0,,695.7258911167515,,2.0
4,3168.0,0.55,8613.0,1.0,701.7620382869023,,'',697.2008056640625,697.2008056640625,0.0,,701.7617797851562,701.7617797851562,0.0,,701.7620382869023,,3.0
5,81423.0,0.55,32418.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
5,90736.0,0.55,63709.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,153624.0,0.55,426351.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,819703.0,0.55,307918.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,1026597.0,0.55,7956201.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,8765312.0,0.55,2135678.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,93261458.0,0.55,85416239.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,50914738.0,0.55,83741905.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,431962507.0,0.55,705269134.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,901852346.0,0.55,643258109.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,1946738052.0,0.55,2508376491.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,4127509683.0,0.55,3869057214.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,279.0,0.15,972.0,1.0,760.1833432273339,,'',757.0296630859375,757.0296630859375,0.0,,760.183349609375,760.183349609375,0.0,,760.1833432273339,,0.0
3,148.0,0.95,841.0,1.0,765.6089892110282,,'',761.6583251953125,761.6583251953125,0.0,,765.608642578125,765.608642578125,0.0,,765.6089892110282,,1.0
4,1652.0,0.35,2561.0,1.0,771.4413536304019,,'2561',767.085693359375,767.085693359375,0.0,,775.2217407226562,775.2217407226562,0.0,,771.4413536304019,,2.0
4,7093.0,0.55,3907.0,1.0,781.259427626017,,'',776.6981201171875,776.6981201171875,0.0,,782.8362426757812,782.8362426757812,0.0,,781.259427626017,,3.0
5,10256.0,0.95,65201.0,1.0,790.2618633971321,,'',784.3109741210938,784.3109741210938,0.0,,790.261962890625,790.261962890625,0.0,,790.2618633971321,,4.0
5,47319.0,0.35,91374.0,1.0,797.0953584829764,,'',791.7376098632812,791.7376098632812,0.0,,797.0945434570312,797.0945434570312,0.0,,797.0953584829764,,5.0
6,982506.0,0.55,605289.0,1.0,805.1291007135184,,'',798.5682983398438,798.5682983398438,0.0,,805.1290893554688,805.1290893554688,0.0,,805.1291007135184,,6.0
6,314795.0,0.95,597413.0,1.0,813.5722069364743,,'',806.6043090820312,806.6043090820312,0.0,,813.5720825195312,813.5720825195312,0.0,,813.5722069364743,,7.0
7,9721435.0,0.75,5341279.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,8975204.0,0.15,4025798.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,84591207.0,0.95,70219548.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,40981637.0,0.55,73618904.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,219405638.0,0.35,836504912.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,395208647.0,0.15,746802593.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,5087243691.0,0.75,1963427805.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,6182975304.0,0.35,4035792816.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,497.0,0.55,794.0,1.0,'1000.42706',,'',996.86572265625,996.86572265625,0.0,,1000.9207153320312,1000.9207153320312,0.0,,'1000.42706',,0.0
