digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,279.0,0.15,972.0,1.0,199.05881222750577,,'',195.90609741210938,195.90609741210938,0.0,,199.0587921142578,199.0587921142578,0.0,,199.05881222750577,,0.0
3,148.0,0.95,841.0,1.0,204.48271998751989,,'',200.53341674804688,200.53341674804688,0.0,,204.4828338623047,204.4828338623047,0.0,,204.48271998751989,,1.0
4,1652.0,0.35,2561.0,1.0,210.31345214342764,,'',205.9573211669922,205.9573211669922,0.0,,210.31344604492188,210.31344604492188,0.0,,210.31345214342764,,2.0
4,7093.0,0.55,3907.0,1.0,216.34763816702434,,'',211.78848266601562,211.78848266601562,0.0,,216.3476104736328,216.3476104736328,0.0,,216.34763816702434,,3.0
5,10256.0,0.95,65201.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
5,47319.0,0.35,91374.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,982506.0,0.55,605289.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,314795.0,0.95,597413.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,9721435.0,0.75,5341279.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,8975204.0,0.15,4025798.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,84591207.0,0.95,70219548.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,40981637.0,0.55,73618904.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,219405638.0,0.35,836504912.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,395208647.0,0.15,746802593.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,5087243691.0,0.75,1963427805.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,6182975304.0,0.35,4035792816.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
﻿digitSpan,digits,fixation_time,answer,n,answer_box.started_raw,answer_box.stopped_raw,answer_box.text_raw,first_fix_pas.started_mean,first_fix_pas.started_raw,first_fix_pas.started_std,first_fix_pas.stopped_raw,postrecallPR.started_mean,postrecallPR.started_raw,postrecallPR.started_std,postrecallPR.stopped_raw,recall_txt.started_raw,recall_txt.stopped_raw,order
3,497.0,0.55,794.0,1.0,242.6941580248149,,'',239.13465881347656,239.13465881347656,0.0,,242.69412231445312,242.69412231445312,0.0,,242.6941580248149,,0.0
3,235.0,0.55,532.0,1.0,247.72820405448692,,'',244.16883850097656,244.16883850097656,0.0,,247.72821044921875,247.72821044921875,0.0,,247.72820405448692,,1.0
4,6081.0,0.55,1806.0,1.0,253.76263722278236,,'',249.20306396484375,249.20306396484375,0.0,,254.52529907226562,254.52529907226562,0.0,,253.76263722278236,,2.0
4,3168.0,0.55,8613.0,1.0,260.55984760778847,,'',255.9999542236328,255.9999542236328,0.0,,260.5598449707031,260.5598449707031,0.0,,260.55984760778847,,3.0
5,81423.0,0.55,32418.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
5,90736.0,0.55,63709.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,153624.0,0.55,426351.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
6,819703.0,0.55,307918.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,1026597.0,0.55,7956201.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
7,8765312.0,0.55,2135678.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,93261458.0,0.55,85416239.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
8,50914738.0,0.55,83741905.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,431962507.0,0.55,705269134.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
9,901852346.0,0.55,643258109.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,1946738052.0,0.55,2508376491.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',
10,4127509683.0,0.55,3869057214.0,0.0,'--','--','--',,,,'--',,,,'--','--','--',

extraInfo
participante,APRFRF
sesion,01
orden,AP
pasivas,RF
activas,RF
date,2022-07-05_20h37.57.539
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.576458027682435
