S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,CorrAns3,CorrAns4,CorrAns5,CorrAns6,CorrAns7,CorrAns8,CorrAns9,CorrAns10,CorrAns11,CorrAns12,CorrAns13,CorrAns14,CorrAns15,CorrAns16,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,recall_resp,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,text_go.started,text_go.stopped,DS,key_resp2_2.keys,key_resp2_2.corr,key_resp2_2.rt,score,Forward WM score,B_DS,key_resp2_2B.keys,key_resp2_2B.corr,key_resp2_2B.rt,Backward WM score,participant,session,date,expName,psychopyVersion,frameRate,
5,9,4,1,6,9,3,8,2,6,1,8,2,0,0,0,"['5', '9', '4']","['5', '9', '4', '1']","['5', '9', '4', '1', '6']","['5', '9', '4', '1', '6', '9']","['5', '9', '4', '1', '6', '9', '3']","['5', '9', '4', '1', '6', '9', '3', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8']","['5', '9', '4', '1', '6', '9', '3', '8', '2', '6', '1', '8', '2']",None,None,None,,,,,0,10,10,10,,,,,5941,,,,,,3,"['5', '9', '4', '1']",0,"[1.9975074999965727, 2.3046026999945752, 2.8844490999908885, 3.493247899983544, 4.1245297999848844]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
3,7,2,5,8,4,1,9,6,3,7,1,4,8,0,0,"['3', '7', '2']","['3', '7', '2', '5']","['3', '7', '2', '5', '8']","['3', '7', '2', '5', '8', '4']","['3', '7', '2', '5', '8', '4', '1']","['3', '7', '2', '5', '8', '4', '1', '9']","['3', '7', '2', '5', '8', '4', '1', '9', '6']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4']","['3', '7', '2', '5', '8', '4', '1', '9', '6', '3', '7', '1', '4', '8']",None,None,,,,,0,11,11,11,,,,,372,,,,,,3,"['3', '7', '2']",0,"[1.683235499978764, 2.026193299985607, 2.6255295999872033, 3.353925999981584]",1,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
9,4,8,3,7,1,5,2,6,3,9,1,6,2,7,0,"['9', '4', '8']","['9', '4', '8', '3']","['9', '4', '8', '3', '7']","['9', '4', '8', '3', '7', '1']","['9', '4', '8', '3', '7', '1', '5']","['9', '4', '8', '3', '7', '1', '5', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2']","['9', '4', '8', '3', '7', '1', '5', '2', '6', '3', '9', '1', '6', '2', '7']",None,,,,,0,12,12,12,,,,,9483,,,,,,4,"['9', '4', '8', '3']",0,"[1.267933399984031, 1.7018494999792892, 1.9923234999878332, 2.314013999988674, 3.3065902999805985]",1,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
1,5,9,4,7,3,8,2,6,2,7,3,6,1,5,8,"['1', '5', '9']","['1', '5', '9', '4']","['1', '5', '9', '4', '7']","['1', '5', '9', '4', '7', '3']","['1', '5', '9', '4', '7', '3', '8']","['1', '5', '9', '4', '7', '3', '8', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5']","['1', '5', '9', '4', '7', '3', '8', '2', '6', '2', '7', '3', '6', '1', '5', '8']",,,,,0,13,13,13,,,,,15943,,,,,,5,"['1', '5', '9', '4', '3']",0,"[1.6356251999968663, 1.883711399990716, 2.8444563999946695, 3.282655799994245, 3.7978380999993533, 5.351317299995571]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,0,14,14,14,,,,,15947,,,,,,5,"['1', '5', '9', '4', '7']",0,"[1.395532499984256, 2.000145699988934, 2.919802599979448, 4.079200599982869, 4.7740801999898395, 5.681665399984922]",0,,,,,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"['9', '5', '1']",None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,0,0,0,951,,,,,,,,,,1,3.6,3,"['9', '5', '1']",0,"[3.4066520999913337, 3.8052984999958426, 4.1445014999917476, 4.887869399986812]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
4,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,"['3', '7', '4']","['8', '3', '7', '4']",None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,1,1,1,8374,,,,,,,,,,1,,4,"['8', '3', '7', '4']",0,"[3.8623681999888504, 4.499005699995905, 5.801669399996172, 6.161498299989034, 8.223517399994307]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
2,6,1,7,3,0,0,0,0,0,0,0,0,0,0,0,"['1', '6', '2']","['7', '1', '6', '2']","['3', '7', '1', '6', '2']",None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,2,2,2,37162,,,,,,,,,,1,,5,"['3', '7', '1', '6', '2']",0,"[7.226331599988043, 7.628224099986255, 7.952620799987926, 8.74568919999001, 8.951280299996142, 10.006398099983926]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
6,1,5,9,4,8,0,0,0,0,0,0,0,0,0,0,"['5', '1', '6']","['9', '5', '1', '6']","['4', '9', '5', '1', '6']","['8', '4', '9', '5', '1', '6']",None,None,None,None,None,None,None,None,None,None,,,,,,,,,0,3,3,3,849516,,,,,,,,,,1,,6,"['8', '4', '9', '5', '1', '6']",0,"[9.543652099993778, 9.991340799984755, 11.781276199995773, 14.443351899986737, 16.246168299985584, 16.45002979999117, 17.39641479999409]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
3,7,1,5,2,6,9,0,0,0,0,0,0,0,0,0,"['1', '7', '3']","['5', '1', '7', '3']","['2', '5', '1', '7', '3']","['6', '2', '5', '1', '7', '3']","['9', '6', '2', '5', '1', '7', '3']",None,None,None,None,None,None,None,None,None,,,,,,,,,0,4,4,4,96273,,,,,,,,,,0,,7,"['9', '6', '2', '7', '3']",0,"[4.399910999985877, 6.271018599989475, 6.622782599995844, 7.517634899995755, 7.751224199993885, 8.988694599989685]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
9,3,6,2,5,8,4,1,0,0,0,0,0,0,0,0,"['6', '3', '9']","['2', '6', '3', '9']","['5', '2', '6', '3', '9']","['8', '5', '2', '6', '3', '9']","['4', '8', '5', '2', '6', '3', '9']","['1', '4', '8', '5', '2', '6', '3', '9']",None,None,None,None,None,None,None,None,,,,,,,,,0,5,5,5,4,,,,,,,,,,0,,7,['4'],0,"[5.949531399994157, 7.195344999985537]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
1,7,4,9,5,8,3,6,2,0,0,0,0,0,0,0,"['4', '7', '1']","['9', '4', '7', '1']","['5', '9', '4', '7', '1']","['8', '5', '9', '4', '7', '1']","['3', '8', '5', '9', '4', '7', '1']","['6', '3', '8', '5', '9', '4', '7', '1']","['2', '6', '3', '8', '5', '9', '4', '7', '1']",None,None,None,None,None,None,None,,,,,,,,,0,6,6,6,,,,,,,,,,,0,,6,None,0,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
8,2,6,3,7,1,4,9,5,2,0,0,0,0,0,0,"['6', '2', '8']","['3', '6', '2', '8']","['7', '3', '6', '2', '8']","['1', '7', '3', '6', '2', '8']","['4', '1', '7', '3', '6', '2', '8']","['9', '4', '1', '7', '3', '6', '2', '8']","['5', '9', '4', '1', '7', '3', '6', '2', '8']","['2', '5', '9', '4', '1', '7', '3', '6', '2', '8']",None,None,None,None,None,None,,,,,,,,,0,7,7,7,,,,,,,,,,,0,,6,None,0,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
3,8,1,9,6,2,5,8,4,7,1,0,0,0,0,0,"['1', '8', '3']","['9', '1', '8', '3']","['6', '9', '1', '8', '3']","['2', '6', '9', '1', '8', '3']","['5', '2', '6', '9', '1', '8', '3']","['8', '5', '2', '6', '9', '1', '8', '3']","['4', '8', '5', '2', '6', '9', '1', '8', '3']","['7', '4', '8', '5', '2', '6', '9', '1', '8', '3']","['1', '7', '4', '8', '5', '2', '6', '9', '1', '8', '3']",None,None,None,None,None,,,,,,,,,0,8,8,8,9183,,,,,,,,,,0,,5,"['9', '1', '8', '3']",0,"[4.004102899983991, 5.114234299981035, 6.955804299985175, 7.402975499993772, 9.506331299984595]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
9,5,1,4,8,2,6,3,7,3,1,9,0,0,0,0,"['1', '5', '9']","['4', '1', '5', '9']","['8', '4', '1', '5', '9']","['2', '8', '4', '1', '5', '9']","['6', '2', '8', '4', '1', '5', '9']","['3', '6', '2', '8', '4', '1', '5', '9']","['7', '3', '6', '2', '8', '4', '1', '5', '9']","['3', '7', '3', '6', '2', '8', '4', '1', '5', '9']","['1', '3', '7', '3', '6', '2', '8', '4', '1', '5', '9']","['9', '1', '3', '7', '3', '6', '2', '8', '4', '1', '5', '9']",None,None,None,None,,,,,,,,,0,9,9,9,84159,,,,,,,,,,1,,5,"['8', '4', '1', '5', '9']",0,"[5.383563799987314, 5.661303799992311, 6.16351409998606, 6.799351399997249, 7.036253599988413, 7.963815699986299]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
5,8,4,1,9,2,7,3,6,2,8,1,6,0,0,0,"['4', '8', '5']","['1', '4', '8', '5']","['9', '1', '4', '8', '5']","['2', '9', '1', '4', '8', '5']","['7', '2', '9', '1', '4', '8', '5']","['3', '7', '2', '9', '1', '4', '8', '5']","['6', '3', '7', '2', '9', '1', '4', '8', '5']","['2', '6', '3', '7', '2', '9', '1', '4', '8', '5']","['8', '2', '6', '3', '7', '2', '9', '1', '4', '8', '5']","['1', '8', '2', '6', '3', '7', '2', '9', '1', '4', '8', '5']","['6', '1', '8', '2', '6', '3', '7', '2', '9', '1', '4', '8', '5']",None,None,None,,,,,,,,,0,10,10,10,298441,,,,,,,,,,0,,6,"['2', '9', '8', '4', '4', '1']",0,"[6.8954415999905905, 7.997086399991531, 13.893398399988655, 14.35866869999154, 15.514266899990616, 15.825611899985233, 16.577325099991867]",,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
1,6,9,4,7,2,5,8,3,9,4,7,2,6,0,0,"['9', '6', '1']","['4', '9', '6', '1']","['7', '4', '9', '6', '1']","['2', '7', '4', '9', '6', '1']","['5', '2', '7', '4', '9', '6', '1']","['8', '5', '2', '7', '4', '9', '6', '1']","['3', '8', '5', '2', '7', '4', '9', '6', '1']","['9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['7', '4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['2', '7', '4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']","['6', '2', '7', '4', '9', '3', '8', '5', '2', '7', '4', '9', '6', '1']",None,None,,,,,,,,,0,11,11,11,,,,,,,,,,,0,,6,None,0,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
2,7,4,9,1,6,3,8,5,9,4,1,7,2,8,0,"['4', '7', '2']","['9', '4', '7', '2']","['1', '9', '4', '7', '2']","['6', '1', '9', '4', '7', '2']","['3', '6', '1', '9', '4', '7', '2']","['8', '3', '6', '1', '9', '4', '7', '2']","['5', '8', '3', '6', '1', '9', '4', '7', '2']","['9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['7', '1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['2', '7', '1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']","['8', '2', '7', '1', '4', '9', '5', '8', '3', '6', '1', '9', '4', '7', '2']",None,,,,,,,,,0,12,12,12,,,,,,,,,,,0,,5,None,0,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
7,1,4,8,2,6,3,9,5,8,5,9,1,4,7,2,"['4', '1', '7']","['8', '4', '1', '7']","['2', '8', '4', '1', '7']","['6', '2', '8', '4', '1', '7']","['3', '6', '2', '8', '4', '1', '7']","['9', '3', '6', '2', '8', '4', '1', '7']","['5', '9', '3', '6', '2', '8', '4', '1', '7']","['8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['4', '1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['7', '4', '1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']","['2', '7', '4', '1', '9', '5', '8', '5', '9', '3', '6', '2', '8', '4', '1', '7']",,,,,,,,,0,13,13,13,,,,,,,,,,,0,,5,None,0,,,1,001,2022-06-01_17h13.16.554,DS_Adapt1L,2022.1.4,59.911522666154596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6000000000000005,,,,,,,
