type,animalname,source,sourceanswer,animalimage,fact,questionaudio,question,lettera,choicea,letterb,choiceb,correctanswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Alternativas.started,Alternativas.stopped,fact_response.keys,fact_response.corr,fact_response.rt,fact_response.started,fact_response.stopped,sourcetext.started,sourcetext.stopped,sourceresponse.keys,sourceresponse.corr,sourceresponse.rt,sourceresponse.started,sourceresponse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Marine animal,Clownfish,female,b,clownfish.jpg,The largest female clownfish is at the top of its group hierarchy.,clownfish.aiff,What clownfish is at the top of its group's hierarchy?,a. ,The oldest female,b. ,The largest female,b,0,0,0,2,,,,,,,,,,,,,,,,,,,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Insect,Woolly Bear Caterpillar,male,a,woollybearcaterpillar.jpg,The woolly bear caterpillar is resistant to freezing.,woollybearcaterpillar.aiff,What are woolly bear caterpillars resistant to?,a. ,Freezing,b. ,Overheating,a,0,1,1,3,,,,,,,,,,,,,,,,,,,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Bird,Toucan,female,b,toucan.jpg,Toucans regulate their body temperature by adjusting bloodflow to their beaks.,toucan.aiff,How do toucans regulate their body temperature?,a. ,"Opening their mouths, similar to panting",b. ,Adjusting bloodflow to their beaks,b,0,2,2,1,,,,,,,,,,,,,,,,,,,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Mammal,Polar Bear,male,a,polarbear.jpg,Polar bears can smell a seal breathing hole in the ice from one kilometer away.,polarbear.aiff,What can a polar bear smell from one kilometer away?,a. ,A seal breathing hole,b. ,An elk carcass,a,0,3,3,0,,,,,,,,,,,,,,,,,,,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Bird,Toucan,female,b,toucan.jpg,Toucans regulate their body temperature by adjusting bloodflow to their beaks.,toucan.aiff,How do toucans regulate their body temperature?,a. ,"Opening their mouths, similar to panting",b. ,Adjusting bloodflow to their beaks,b,,,,,0,0,0,1,102.34710386191728,None,a,0,2.9411134633264737,102.34710386191728,None,105.3307061658561,None,a,0,0.2735159708681749,105.3307061658561,None,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Insect,Woolly Bear Caterpillar,male,a,woollybearcaterpillar.jpg,The woolly bear caterpillar is resistant to freezing.,woollybearcaterpillar.aiff,What are woolly bear caterpillars resistant to?,a. ,Freezing,b. ,Overheating,a,,,,,0,1,1,3,105.65274341804616,None,a,1,0.24552510124340188,105.65274341804616,None,105.9239626739145,None,a,1,0.2593011036660755,105.9239626739145,None,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Marine animal,Clownfish,female,b,clownfish.jpg,The largest female clownfish is at the top of its group hierarchy.,clownfish.aiff,What clownfish is at the top of its group's hierarchy?,a. ,The oldest female,b. ,The largest female,b,,,,,0,2,2,2,106.22897410737642,None,a,0,0.2402164384839125,106.22897410737642,None,106.500385084335,None,a,0,0.23179877386428416,106.500385084335,None,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
Mammal,Polar Bear,male,a,polarbear.jpg,Polar bears can smell a seal breathing hole in the ice from one kilometer away.,polarbear.aiff,What can a polar bear smell from one kilometer away?,a. ,A seal breathing hole,b. ,An elk carcass,a,,,,,0,3,3,0,106.7883444246836,None,a,1,0.3709139830607455,106.7883444246836,None,107.17821481794817,None,a,1,0.4281478622579016,107.17821481794817,None,t2,001,2022-05-20_20h49.04.792,MyTestTask,2022.1.3,59.11247442887313,
