start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
-0.046563043,-0.408194987,1,0,0,cont_button,0,0,0,0,1,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,327,0,-0.037141927,-0.414420573,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-01-29_12h13.02.744,Digit Span Task,2021.2.3,MacIntel,59.99520038,,,,,,,,,,,,,,,
