start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.015740811,-0.389814828,1,0,0,cont_button,0,0,0,0,1,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,217,1,0.010185199,-0.39166668,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-05-02_10h53.18.271,Digit Span Task,2021.2.3,Win32,120.0192031,,,,,,,,,,,,,,,
