start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.009259286,-0.403703731,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,217,1,0.053703732,-0.379629712,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,"486
",0,0.050000028,-0.418518602,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,760,1,0.025925953,-0.406481508,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,0,0.025925953,-0.406481508,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,0,0.019444472,-0.418518602,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
,,,,,,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,0,0.01759262,-0.418518602,1,0,0,cont_button,0,2,2,2,1,4,2391,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,0,1,1,1,1,four.xlsx
,,,,,,0,0,0,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,0,4,0,1,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-27_08h56.35.058,Digit Span Task,2021.2.3,Win32,59.89458553,14932,1,0.050000028,-0.416666694,1,0,0,cont_button,0,0,0,0,1,5,14932,,,,,,
