start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.012962963,-0.387962963,1,0,0,cont_button,0,0,0,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,217,1,-0.000925926,-0.4,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,0,0.031481481,-0.392592593,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-05-09_14h54.16.275,Digit Span Task,2021.2.3,Win32,59.85156811,,,,,,,,,,,,,,,
