start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.006481508,-0.399074157,1,0,0,cont_button,0,0,0,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,"216
",0,0.006481508,-0.399074157,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,486,1,0.006481508,-0.399074157,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,209u234,0,0.006481508,-0.399074157,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,,001,2022-03-31_16h35.16.049,Digit Span Task,2021.2.3,Win32,60.62810719,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
