start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.008095183,-0.392739077,1,0,0,cont_button,0,0,0,0,1,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,217,1,0.141992979,-0.424142343,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-03-01_09h23.50.079,Digit Span Task,2021.2.3,MacIntel,59.97361161,,,,,,,,,,,,,,,
