instrucciones_pasiva,instrucciones_activa,instrucloop_PR.thisRepN,instrucloop_PR.thisTrialN,instrucloop_PR.thisN,instrucloop_PR.thisIndex,trial_trainingPR.thisRepN,trial_trainingPR.thisTrialN,trial_trainingPR.thisN,trial_trainingPR.thisIndex,digitSpan_trainPR,digits_trainPR,fixation_time_trainPR,answer_trainPR,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,instruccion1_activa.png,0,0,0,0,,,,,,,,,1,001,2022-06-09_18h26.49.628,DigitSpanTask_PR,2022.1.3,59.096442838519756,
instruccion2.png,instruccion2.png,0,1,1,1,,,,,,,,,1,001,2022-06-09_18h26.49.628,DigitSpanTask_PR,2022.1.3,59.096442838519756,
instruccion3.png,instruccion3.png,0,2,2,2,,,,,,,,,1,001,2022-06-09_18h26.49.628,DigitSpanTask_PR,2022.1.3,59.096442838519756,
