start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.027777791,-0.379629643,1,0,0,cont_button,0,0,0,0,1,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,217,1,0.039814829,-0.412962977,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-02-12_10h03.08.022,Digit Span Task,2021.2.3,Win32,59.36479668,,,,,,,,,,,,,,,
