instrucciones_pasiva,instrucciones_activa,digitSpan_trainAF,digits_trainAF,fixation_time_trainAF,answer_trainAF,digitSpan_AF,digits_AF,fixation_time_AF,answer_AF,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_trainingAF.thisRepN,trial_trainingAF.thisTrialN,trial_trainingAF.thisN,trial_trainingAF.thisIndex,train_digitloopAF.thisRepN,train_digitloopAF.thisTrialN,train_digitloopAF.thisN,train_digitloopAF.thisIndex,trial_AF.thisRepN,trial_AF.thisTrialN,trial_AF.thisN,trial_AF.thisIndex,digitLoop_AF.thisRepN,digitLoop_AF.thisTrialN,digitLoop_AF.thisN,digitLoop_AF.thisIndex,fixation_press_training.started,fixation_press_training.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,press_fixation.started,press_fixation.stopped,first_fix.started,first_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,answer_box.text,answer_box.started,answer_box.stopped,button_next.numClicks,button_next.timesOn,button_next.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,instruccion1_activa.png,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
instruccion2.png,instruccion2.png,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
instruccion3.png,instruccion3.png,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,2,91,0.55,19,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,45.05018373471103,None,46.727072162524564,None,47.33710833470104,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,2,91,0.55,19,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,48.303393601148855,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,2,91,0.55,19,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,49.32032609573798,None,19,49.32032609573798,None,1,[4.456695796834538],[4.456701954855816],1,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,2,47,0.55,74,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,53.76142568772775,None,56.405760373483645,None,56.96512961189728,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,2,47,0.55,74,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,57.96507008440676,57.96507008440676,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,2,47,0.55,74,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,58.96529136248864,None,74,58.96529136248864,None,2,"[4.456695796834538, 7.523733614041703]","[4.456701954855816, 7.523738129908452]",1,,,,,,,,,,,,,,,,,1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
,,,,,,3,385.0,0.55,583.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,66.49082763341721,None,68.38953071393189,None,69.8641217086988,None,72.42355006406433,72.42355006406433,73.42349464190193,None,583,73.42349464190193,None,1,[12.897078185080318],[12.897083932562964],1,001,2022-06-09_16h34.36.297,DigitSpanTask_activeback,2022.1.3,58.94100452089592,
