start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
-0.00462963,-0.402777778,1,0,0,cont_button,0,0,0,0,1,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,3555,0,-0.014814815,-0.406481481,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-01-21_10h41.28.311,Digit Span Task,2021.2.3,Win32,59.87306909,,,,,,,,,,,,,,,
