start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.013888889,-0.372222222,1,0,0,cont_button,0,0,0,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,217,1,0.016666667,-0.397222222,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,545647,0,0.085185185,-0.394444444,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-02-28_15h30.44.538,Digit Span Task,2021.2.3,Win32,59.79788315,,,,,,,,,,,,,,,
