start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
0.122654359,-0.392663399,1,0,0,cont_button,0,0,0,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,217,1,0.024624427,-0.387266874,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,217486,0,0.093978326,-0.40512538,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,760,1,-0.01925389,-0.415695985,1,0,0,cont_button,0,2,2,2,1,3,760,,,,,,
,,,,,,,,,,,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,0,0,0,0,1,three.xlsx
,,,,,,0,0,0,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,3141,1,0.014603774,-0.409838676,1,0,0,cont_button,0,0,0,0,1,4,3141,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,0,3,0,1,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-13_15h30.22.790,Digit Span Task,2021.2.3,Linux x86_64,60.08893162,6315,0,0.080179214,-0.401960929,1,0,0,cont_button,0,1,1,1,1,4,6351,,,,,,
