key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,18.11299992,"[""2"",""1"",""7""]","[1.934999942779541,2.3869998455047607,3.255999803543091,4.721999883651733]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,na,001,2022-01-20_15h07.24.741,Digit Span Task,3.1.5,MacIntel,60
,,"[""4"",""8"",""6""]","[1.7709999084472656,2.4039998054504395,2.7209999561309814,3.7049999237060547]",1,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,na,001,2022-01-20_15h07.24.741,Digit Span Task,3.1.5,MacIntel,60
