digitSpan,digits,fixation_time,trial_PF.thisRepN,trial_PF.thisTrialN,trial_PF.thisN,trial_PF.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,firs_fix.started,firs_fix.stopped,pres_text.started,pres_text.stopped,recall_txt.started,recall_txt.stopped,textbox.text,textbox.started,textbox.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,correct,participant,session,date,expName,psychopyVersion,frameRate,
3,489,0.55,0,0,0,0,,,,,111.89812217423605,None,114.45797296958335,114.45797296958335,115.46022844601248,None,489,115.46022844601248,None,115.46022844601248,None,1,[4.457242218210013],[4.457247144629946],1,1,001,2022-06-07_22h21.07.067,DigitSpanTask_fwdback,2022.1.3,59.11566128336852,
,,,,,,,,,,,119.91597755032853,None,122.47532585147565,122.47532585147565,,,,,,,,,,,,,,,,,,
