start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.011574074,-0.396990741,1,0,0,cont_button,0,0,0,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,2,0,-0.037037037,-0.387731481,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,,,,,,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,486,1,-0.032407407,-0.400462963,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,1,001,2022-02-22_16h18.59.033,Digit Span Task,2021.2.3,Win32,60.0240096,,,,,,,,,,,,,,,
