start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.0775,-0.4125,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,373,0,0.0775,-0.3975,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,486,1,-0.05,-0.38625,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-28_13h53.28.506,Digit Span Task,2021.2.3,Win32,56.58669081,,,,,,,,,,,,,,,
