start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate
0.07280442,-0.386024112,1,0,0,cont_button,0,0,0,0,1,0,001,2022-04-06_15h12.31.324,Digit Span Task,2021.2.3,MacIntel,59.95563283
,,,,,,1,0,1,0,1,0,001,2022-04-06_15h12.31.324,Digit Span Task,2021.2.3,MacIntel,59.95563283
,,,,,,2,0,2,0,1,0,001,2022-04-06_15h12.31.324,Digit Span Task,2021.2.3,MacIntel,59.95563283
