start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.051851852,-0.396296296,1,0,0,cont_button,0,0,0,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,"217
",0,-0.003174603,-0.408994709,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,648,0,-0.024338624,-0.411111111,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-03-30_15h44.32.659,Digit Span Task,2021.2.3,MacIntel,119.6172249,,,,,,,,,,,,,,,
