start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,condition_file
-0.014744679,-0.417593559,1,0,0,cont_button,0,0,0,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,217,1,0.001628558,-0.384036859,1,0,0,cont_button,0,0,0,0,1,3,217,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,486,1,-0.017631849,-0.423769077,1,0,0,cont_button,0,1,1,1,1,3,486,,,,,,
,,,,,,0,0,0,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,0,001,2022-04-19_11h41.08.688,Digit Span Task,2021.2.3,Linux x86_64,59.9880024,,,,,,,,,,,,,,,,,,,,,
