key_resp.keys,key_resp.rt,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.9959,217,0,0.07125,-0.4025,1,0,0,cont_button,0,0,0,0,1,3,217,,001,2022-01-20_19h26.56.052,Digit Span Task,2021.2.3,Win32,59.81576744
,,234,0,0.07125,-0.4025,1,0,0,cont_button,0,1,1,1,1,3,486,,001,2022-01-20_19h26.56.052,Digit Span Task,2021.2.3,Win32,59.81576744
