start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.clicked_name,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,digitLoop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,textbox.text,correct,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,digitSpan,digits
0.064765625,-0.397113095,1,0,0,cont_button,0,0,0,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,"217
",0,0.033675595,-0.400052083,1,0,0,cont_button,0,0,0,0,1,3,217
,,,,,,0,0,0,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,,,,,,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,486,1,0.011380208,-0.381108631,1,0,0,cont_button,0,1,1,1,1,3,486
,,,,,,0,0,0,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,1,0,1,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
,,,,,,2,0,2,0,1,,001,2022-04-02_17h01.13.341,Digit Span Task,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
