digitSpan,digits,fixation_time,answer
3,497,"0,550",794
3,235,"0,550",532
4,6081,"0,550",1806
4,3168,"0,550",8613
5,81423,"0,550",32418
5,90736,"0,550",63709
6,153624,"0,550",426351
6,819703,"0,550",307918
7,1026597,"0,550",7956201
7,8765312,"0,550",2135678
8,93261458,"0,550",85416239
8,50914738,"0,550",83741905
9,431962507,"0,550",705269134
9,901852346,"0,550",643258109
10,1946738052,"0,550",2508376491
10,4127509683,"0,550",3869057214
