digitSpan,digits,fixation_time,answer
3,385,"0,550",583
3,294,"0,550",492
4,1358,"0,550",8531
4,2047,"0,550",7402
5,15396,"0,550",69351
5,90761,"0,550",16709
6,835042,"0,550",240538
6,615739,"0,550",937516
7,1032458,"0,550",8542301
7,7864201,"0,550",1024687
8,98614052,"0,550",25041689
8,85370192,"0,550",29107358
9,914725608,"0,550",806527419
9,807243561,"0,550",165342708
10,4319625078,"0,550",8705269134
10,6172385409,"0,550",9045832716
